Wall time,Step,Value
1485535913.92123,2091,0.90625
1485535915.4177628,2096,0.90625
1485535916.0056465,2098,0.9375
1485535928.4541578,2113,0.96875
1485535937.1812642,2143,0.9375
1485535938.0817122,2146,0.875
1485535938.3816023,2147,0.90625
1485535939.5774229,2151,1.0
1485535940.171236,2153,0.90625
1485535941.669247,2158,0.875
1485535944.3972406,2167,0.96875
1485535946.8017411,2175,0.90625
1485535948.0083194,2179,0.96875
1485535950.9754794,2189,1.0
1485535951.5696108,2191,0.9375
1485535952.1611674,2193,0.90625
1485535952.4551933,2194,0.96875
1485535953.7038665,2198,0.875
1485535954.589785,2201,0.875
1485535956.9586246,2209,0.9375
1485535958.1467733,2213,1.0
1485535962.3204374,2227,0.8125
1485535964.1704307,2233,0.90625
1485535965.733768,2238,0.96875
1485535966.111126,2239,0.9375
1485535966.7478967,2241,0.96875
1485535967.7751167,2244,0.78125
1485535968.4364574,2246,0.90625
1485535969.0847907,2248,0.9375
1485535969.394965,2249,0.90625
1485535971.5279338,2256,1.0
1485535972.4130323,2259,0.96875
1485535973.9655712,2264,0.9375
1485535979.6900687,2283,0.9375
1485535982.7025268,2293,0.96875
1485535984.5277681,2299,1.0
1485535986.3241496,2305,0.90625
1485535987.5188694,2309,0.875
1485535987.8173342,2310,0.90625
1485535991.1287348,2321,0.90625
1485535991.4356754,2322,0.9375
1485535995.9262447,2337,0.90625
1485535998.8995125,2347,0.9375
1485536001.6220586,2356,0.9375
1485536006.721722,2373,0.9375
1485536012.067195,2391,1.0
1485536012.3641713,2392,0.90625
1485536012.962509,2394,0.90625
1485536015.962024,2404,0.875
1485536017.163715,2408,0.96875
1485536020.1527593,2418,0.9375
1485536022.537024,2426,0.90625
1485536022.8328898,2427,0.875
1485536026.1256218,2438,1.0
1485536028.5072458,2446,0.84375
1485536030.2663999,2452,0.84375
1485536030.5616002,2453,0.96875
1485536031.1639922,2455,0.84375
1485536031.7509553,2457,0.9375
1485536033.2439837,2462,0.9375
1485536040.862243,2487,0.9375
1485536041.1645463,2488,0.9375
1485536044.2176588,2498,0.96875
1485536044.8236191,2500,0.96875
1485536046.0191681,2504,0.96875
1485536046.3138554,2505,0.90625
1485536050.516339,2519,0.875
1485536052.316225,2525,0.90625
1485536053.816434,2530,0.875
1485536054.4088902,2532,0.9375
1485536055.022745,2534,0.875
1485536055.6200993,2536,0.90625
1485536059.5144598,2549,0.96875
1485536060.7185173,2553,0.9375
1485536061.3116033,2555,0.9375
1485536062.217599,2558,0.84375
1485536065.2185082,2568,0.9375
1485536068.2232602,2578,0.9375
1485536068.8257735,2580,0.96875
1485536072.426924,2592,0.90625
1485536072.7291577,2593,0.90625
1485536073.034049,2594,0.90625
1485536075.445904,2602,0.875
1485536077.2458913,2608,0.875
1485536082.3219097,2625,0.84375
1485536084.1132214,2631,0.9375
1485536084.4134347,2632,0.84375
1485536086.7786636,2640,0.9375
1485536088.5715044,2646,0.90625
1485536090.365648,2652,0.96875
1485536091.866378,2657,0.8125
1485536098.7212408,2680,0.9375
1485536099.317882,2682,0.875
1485536100.801956,2687,0.96875
1485536102.399862,2692,0.96875
1485536106.3448927,2705,0.8125
1485536108.4535685,2712,0.90625
1485536113.0597966,2727,0.90625
1485536116.6808221,2739,0.90625
1485536117.5801878,2742,0.9375
1485536119.3974907,2748,0.875
1485536121.8084095,2756,0.90625
1485536122.09849,2757,0.90625
1485536122.7038383,2759,0.9375
1485536125.4028523,2768,0.9375
1485536132.3003824,2791,0.90625
1485536132.5969324,2792,1.0
1485536132.9017391,2793,0.96875
1485536134.9979384,2800,1.0
1485536138.3255768,2811,0.90625
1485536138.9226165,2813,0.90625
1485536150.2116907,2825,0.9375
1485536150.5071013,2826,0.96875
1485536151.417909,2829,0.9375
1485536152.0172336,2831,0.96875
1485536152.3197277,2832,0.9375
1485536161.0331724,2861,0.90625
1485536164.636793,2873,0.9375
1485536164.9255755,2874,0.96875
1485536167.6488307,2883,0.96875
1485536169.461245,2889,0.96875
1485536170.4710252,2892,0.90625
1485536172.3011742,2898,0.90625
1485536173.5239449,2902,0.96875
1485536178.6888218,2919,1.0
1485536179.2830966,2921,0.875
1485536179.5838943,2922,0.96875
1485536179.8801172,2923,0.96875
1485536183.188983,2934,0.96875
1485536188.6499949,2952,0.9375
1485536193.8120518,2969,1.0
1485536195.9296498,2976,0.96875
1485536196.2393687,2977,0.9375
1485536197.1354768,2980,0.96875
1485536201.9459257,2996,0.875
1485536203.1238933,3000,0.96875
1485536204.6449268,3005,0.9375
1485536205.2437162,3007,0.90625
1485536205.8314965,3009,0.9375
1485536206.4617794,3011,1.0
1485536207.0709295,3013,0.96875
1485536208.2586668,3017,0.84375
1485536208.563813,3018,0.9375
1485536211.8803945,3029,0.9375
1485536212.775026,3032,0.96875
1485536215.140727,3040,0.90625
1485536216.0341341,3043,0.9375
1485536218.7517393,3052,0.875
1485536223.2436397,3067,0.9375
1485536224.4261565,3071,0.96875
1485536225.0264754,3073,0.9375
1485536229.5273824,3088,1.0
1485536233.39644,3101,1.0
1485536240.4708874,3124,1.0
